date,workout_name,exercise_name,set_number,weight,reps,is_bodyweight
2026-07-25,Gym,Flat Machine Press,1,61,10,false
2026-07-25,Gym,Flat Machine Press,2,68,6,false
2026-07-25,Gym,Incline Machine Press,1,50,12,false
2026-07-25,Gym,Incline Machine Press,2,70,6,false
2026-07-25,Gym,Machine Lateral Raise,1,30,10,false
2026-07-25,Gym,Machine Lateral Raise,2,30,8,false
2026-07-25,Gym,Machine Shoulder Press,1,47,9,false
2026-07-25,Gym,Machine Shoulder Press,2,54,6,false
2026-07-25,Gym,Overhead Tricep Extension (Unilateral),1,15,11,false
2026-07-25,Gym,Overhead Tricep Extension (Unilateral),2,20,4,false
2026-07-25,Gym,Pec Dec,1,25,12,false
2026-07-25,Gym,Pec Dec,2,30,5,false
2026-07-25,Gym,Tricep Pushdown (Unilateral),1,15,8,false
2026-07-25,Gym,Tricep Pushdown (Unilateral),2,15,6,false
2026-07-27,Pull,Cable Curl,1,40,10,false
2026-07-27,Pull,Cable Curl,2,50,6,false
2026-07-27,Pull,Chest Supported Close Row,1,40,12,false
2026-07-27,Pull,Chest Supported Close Row,2,50,9,false
2026-07-27,Pull,Preacher Curl,1,47,10,false
2026-07-27,Pull,Preacher Curl,2,54,6,false
2026-07-27,Pull,Pull Up,1,,7,true
2026-07-27,Pull,Pull Up,2,,5,true
2026-07-27,Pull,T-Bar Row,1,35,11,false
2026-07-27,Pull,T-Bar Row,2,40,7,false
2026-07-27,Pull,Wrist Curl,1,25,12,false
2026-07-28,Legs,Barbell Stiff-Leg Deadlift,1,40,10,false
2026-07-28,Legs,Barbell Stiff-Leg Deadlift,2,60,7,false
2026-07-28,Legs,Barbell Stiff-Leg Deadlift,3,70,4,false
2026-07-28,Legs,Hamstring Curl,1,47,12,false
2026-07-28,Legs,Hamstring Curl,2,54,5,false
2026-07-28,Legs,Leg Extension,1,47,10,false
2026-07-28,Legs,Leg Extension,2,54,8,false
2026-07-28,Legs,Pendulum Squat,1,5,10,false
2026-07-28,Legs,Pendulum Squat,2,10,7,false
2026-07-28,Legs,Pendulum Squat,3,10,7,false
2026-07-28,Legs,Standing Calf Raise,1,96,10,false
2026-07-28,Legs,Standing Calf Raise,2,96,10,false
2026-07-31,Upper,Barbell Row,1,30,12,false
2026-07-31,Upper,Barbell Row,2,40,7,false
2026-07-31,Upper,Bicep Curl,1,15,10,false
2026-07-31,Upper,Bicep Curl,2,17.5,6,false
2026-07-31,Upper,Incline Bench Press,1,40,6,false
2026-07-31,Upper,Incline Bench Press,2,40,7,false
2026-07-31,Upper,Lat Pulldown,1,61,10,false
2026-07-31,Upper,Lat Pulldown,2,68,6,false
2026-07-31,Upper,Overhead Press,1,17.5,10,false
2026-07-31,Upper,Overhead Press,2,20,7,false
2026-07-31,Upper,Pec Dec,1,25,12,false
2026-07-31,Upper,Pec Dec,2,30,8,false
2026-07-31,Upper,Tricep Rope Pushdown,1,40,11,false
2026-07-31,Upper,Tricep Rope Pushdown,2,45,7,false
2026-08-01,Legs V2,Barbell Squat,1,20,8,false
2026-08-01,Legs V2,Barbell Squat,2,40,7,false
2026-08-01,Legs V2,Barbell Squat,3,60,4,false
2026-08-01,Legs V2,Barbell Stiff-Leg Deadlift,1,40,7,false
2026-08-01,Legs V2,Barbell Stiff-Leg Deadlift,2,60,6,false
2026-08-01,Legs V2,Barbell Stiff-Leg Deadlift,3,70,6,false
2026-08-01,Legs V2,Hamstring Curl,1,47,9,false
2026-08-01,Legs V2,Hamstring Curl,2,54,6,false
2026-08-01,Legs V2,Hamstring Curl,3,51,5,false
2026-08-01,Legs V2,Leg Extension,1,54,10,false
2026-08-01,Legs V2,Leg Extension,2,61,8,false
2026-08-01,Legs V2,Leg Extension,3,68,7,false
2026-08-03,Push,Incline Chest Machine Press,1,60,10,false
2026-08-03,Push,Incline Chest Machine Press,2,80,5,false
2026-08-03,Push,Machine Chest Press,1,61,10,false
2026-08-03,Push,Machine Chest Press,2,68,6,false
2026-08-03,Push,Machine Lateral Raise,1,30,10,false
2026-08-03,Push,Machine Lateral Raise,2,30,7,false
2026-08-03,Push,Machine Shoulder Press,1,54,9,false
2026-08-03,Push,Machine Shoulder Press,2,61,6,false
2026-08-03,Push,Overhead Tricep Extension (Unilateral),1,15,12,false
2026-08-03,Push,Overhead Tricep Extension (Unilateral),2,20,6,false
2026-08-03,Push,Pec Dec,1,25,11,false
2026-08-03,Push,Pec Dec,2,30,8,false
